	Predicted
138	208.604996
139	93.318779
140	143.630005
141	103.995003
142	93.6600015
143	152.9500005
144	93.41
145	168.490002
146	51.630001
147	66.950001
148	25.130001
149	121.0199965
150	129.225002
151	258.0449905
152	53.1399995
153	40.8349995
154	41.2399995
155	151.875
156	22.79
157	182.3899995
158	26.7049985
159	154.5863265
160	245.61
161	126.3650015
162	80.43
163	75.369999
164	115.105004
165	146.560005
166	118.389995
167	258875
168	39.1700015
169	110.491268
170	53.0999985
171	252765.5
172	128.619999
173	174.304996
174	120.0153925
175	27.530001
176	103.7199975
177	83.0200005
178	67.969999
179	140.0349995
180	67.8199995
181	67.5149995
182	78.650002
183	203.845001
184	113.095001
185	176.039997
186	63.7950005
187	74.1350005
188	64.599998
189	104.6923025
190	321.215004
191	179.625004
192	112.039997
193	98.7700005
194	109.235004
195	47.925
196	89.060001
197	47.169999
198	47.25
199	227.87999
200	133.299995
201	597.199051
202	103.810001
203	25.7650005
204	225.3299945
205	214.949997
206	316.375
207	174.684997
208	342.379997
209	55.7250005
210	90.5092865
211	1488.030029
212	177.9949985
213	59.7750015
214	111.06987
215	153.209999
216	36.8399995
217	67.7999995
218	187.064999
219	158.689999
220	59.4700015
221	125.915001
222	32.885
223	90.3050005
224	206.584999
225	44.2375005
226	33.32
227	156.255001
228	34.6800005
229	260090
230	59.67
231	155.844997
232	1923.610046
233	98.9049985
234	53.4649985
235	86.9300005
236	77.3300025
237	163.420002
238	107.834999
239	112.720001
240	177.9399945
241	77.920002
242	25.9400005
243	20.6
244	181.3050005
245	73.745001
246	40.624999
247	89.9050005
248	37.4350005
249	137.805001
250	179.745003
251	110.6100005
252	118.66
253	103.8749965
254	50.455002
255	38.72
256	48.5449995
257	78.4149985
258	99.685001
259	1133.137024
260	43.9250005
261	179.749996
262	69.100003
263	576.279999
264	107.469997
265	23.725
266	80.5399995
267	140.7449985
268	185.714996
269	113.34
270	143.549999
271	107.415005
272	102.014999
273	227.2849955
274	43.765
275	71.204998
276	72.689999
277	67.387501
278	98.859173
279	186.3400005
280	35.6800005
281	52.2849995
282	63.1800005
283	29.5850015
284	127.245003
285	1222.915009
286	131.4749945
287	71.8599985
288	57.700003
289	110.025002
290	197.580002
291	65.850001
292	1760.809997
293	33.2699995
294	40.0699995
295	77.0349995
296	38.9025005
297	60.325001
298	201.7999955
299	101.7699965
300	85.0949995
301	54.6599995
302	132.150791
303	34.3300005
304	68.529999
305	100.0650025
306	96.5449965
307	235.0049975
308	117.805
309	91.76
310	94.3750005
311	1424.125
312	80.370001
313	186.4699975
314	90.764194
315	270.030006
316	32.660001
317	86.5799975
318	57.3950005
319	144.0800015
320	57.354997
321	19.865
322	37.500001
323	165.980003
324	49.3800015
325	163.314819
326	52.115
327	39.8550005
328	122.0299985
329	101.024998
330	116.005001
331	179.455002
332	44.36
333	17.32
334	87.3799985
335	87.59
336	35.42
337	86.74
338	82.7749995
339	53.2049985
340	117.4300035
341	100.8749995
342	81.834999
343	77.7249985
344	116.4519655
345	154.004997
346	122.790001
347	169.670952
348	29.3100005
349	131.8300025
350	49.295
351	131.1049995
352	50.3799995
353	209.014992
354	218.1300045
355	42.2249995
356	31.9550005
357	189.750004
358	14.09
359	105.5400005
360	35.2950005
361	149.824997
362	186.9700015
363	183.754997
364	172.6350015
365	46.195
366	46.5699995
367	107.745003
368	107.3253245
369	92.9650025
370	44.365
371	373420
372	36.305
373	70.2950015
374	101.195003
375	216.825004
376	62.9499985
377	72.959999
378	94.9599995
379	49.900002
380	142.6300015
381	115.679997
382	100.574997
383	94.8150025
384	125.787315
385	97.255001
386	59.2399975
387	592.610001
388	49.740002
389	190.2250025
390	107.25
391	78.51
392	33.2900005
393	189.9400025
394	116.9323115
395	49.452684
396	111.494999
397	56.929999
398	148.159996
399	65.664999
400	28.2349985
401	79.794998
402	103.1749995
403	80.0500015
404	120.0000005
405	71.224999
406	51.1499995
407	154.9049945
408	38.3749985
409	61.1649985
410	102.1100005
411	93.6062505
412	108.235
413	172.904999
414	156.6849975
415	178.654999
416	21.365
417	163.4399985
418	72.1299995
419	19.055
420	108.0100025
421	53.820002
422	90.3599985
423	137.2600025
424	120.419998
425	116.380001
426	131.0249975
427	45.037499
428	81.185
429	185.814998
430	65.7500005
431	872.674072
432	65.3799995
433	28.17
434	66.5
435	85.819998
436	132.704998
437	281.225006
438	50.9149985
439	183.7449985
440	68.3150005
441	145.1449965
442	105.4499975
443	101.714996
444	88.724998
445	53.335001
446	83.6000005
447	17.185
448	60.7350025
449	72.7449985
450	288.300003
451	212.6100005
452	189.5999985
453	70.699999
454	143.4150015
455	165.165001
456	50.7649995
457	92.090002
458	225.8499985
459	106.9849965
460	146.950001
461	117.527294
462	159.364998
463	45.06
464	110.0049975
465	106.1899985
466	34.6499985
467	182.6300045
468	85.2450015
469	26.125
470	110.179996
471	86.189998
472	78.290001
473	23.51
474	119.565002
475	94.795
476	27.715
477	85.3999995
478	41.5375005
479	604.9998015
480	70.2150005
481	119.5149955
482	63.609999
483	169.2799985
484	75.4599995
485	47.2849995
486	42.1950005
487	163.6850055
488	108.469997
489	125.439999
490	168.035
491	72.924999
492	155.9199975
493	123.105003
494	126.255001
495	141.7399985
496	29.1649995
497	72.0950015
498	390.644989
499	40.3100005
500	75.0550005
501	109.0775715
502	51.817499
503	79.7499985
504	157.86
505	118.714996
506	54.4100005
507	38.9100005
508	667.03978
509	129.8349985
510	67.824999
511	114.919998
512	91.695
513	39.1024985
514	134.735001
515	66.275002
516	122.3100015
517	148.1049995
518	13.55
519	150.6550025
520	40.115001
521	10.585
522	60.854999
523	53.1000025
524	22.135
525	22.835
526	153.5649985
527	201.1299895
528	150.055004
529	84.43
530	50.279999
531	154.120003
532	179.024997
533	96.0500025
534	103.6400035
535	23.285
536	52.305
537	78.115002
538	215.7699965
539	191.979996
540	79.8599985
541	124.549999
542	115.989998
543	102.555
544	13.71
545	52.0750005
546	91.99
547	73.140001
548	21.23
549	144.429996
550	69.959999
551	50.504999
552	25.705
553	103.1450005
554	245.6149985
555	24.85
556	58.9800015
557	5.62
558	56.7349985
559	116.3250005
560	73.42
561	49.849998
562	64.605001
563	47.82
564	278.9200055
565	77.300001
566	71.7350005
567	313.449997
568	63.4050005
569	19.495
570	34.425
571	72.3300025
572	167.830002
573	143.139999
574	51.814999
575	140.415005
576	189.8449975
577	41.8049995
578	1923.979981
579	171.834999
580	414.7950135
581	126.830002
582	22.735
583	26.435
584	44.675
585	667.503037
586	42.9692305
587	7.215
588	150.3000035
589	49.5850015
590	309.7849955
591	160.2299995
592	109.43
593	102.5849955
594	48.6049995
595	156.3550035
596	27.415
597	127.045002
598	100.5050045
599	174.1899985
600	70.964998
601	52.9899995
602	169.6899985
603	82.0150015
604	79.924997
605	12.665
606	158.299995
607	12.895
608	78.2399995
609	44.6450005
610	71.4100015
611	62.585001
612	87.179501
613	47.5852255
614	103.204998
615	95.6400015
616	52.1600015
617	149.1949955
618	108.735004
619	167.0149995
620	26.2999995
621	136.9550015
622	63.969999
623	149.720001
624	124.505001
625	56.795002
626	63.0050015
627	39.7428385
628	52.0150015
629	61.185001
630	103.5200005
631	137.5250015
632	67.104997
633	20.17
634	19.205
635	179.969998
636	114.75
637	70.648502
638	39.5700005
639	85.6216815
640	223.7300035
641	175.0200045
642	24.515
643	163.695004
644	25.4999985
645	12.55
646	153.580002
647	146.644997
648	56.4149995
649	37.695001
650	156.89
651	18.19
652	91.174999
653	129.8499985
654	43.7999995
655	68.971498
656	82.120001
657	148.944996
658	94.833206
659	106
660	112.635002
661	52.5100005
662	98.3624415
663	78.0750005
664	53.7049995
665	149.0749965
666	133.339996
667	111.520001
668	144.7200015
669	98.9049985
670	107.5649985
671	170.7699965
672	121.269997
673	79.6400015
674	108.299999
675	150.4599955
676	154.020001
677	184.159996
678	130.3100015
679	662.994919
680	117.920002
681	1753.044983
682	201.285004
683	173.569996
684	142.3050005
685	129.5199965
686	61.219999
687	63.255001
688	136.4299965
689	120.8250005
690	123.2099995
691	215.814995
692	33.039999
693	99.575001
694	90.789999
695	71.34
696	51.4549995
697	84.295002
698	177.994999
699	139.539997
700	188.3699995
701	147.890003
702	79.8350005
703	178.0750005
704	124.720001
705	253700
706	102.244999
707	59.7399975
708	51.484999
709	280445
710	85.0049995
711	89.3400005
712	163.425003
713	117.2600015
714	64.5
715	300199
716	104.970001
717	160.4800035
718	210.330002
719	16.3475
720	76.6000005
721	79.700001
722	176.0349995
723	646.1150055
724	75.3600005
725	110.3450015
726	185.8849985
727	337127.5
728	47.515373
729	36.664999
730	55.6899985
731	69.1649985
732	312340
733	488.7599945
734	117.570961
735	77.040001
736	121.764999
737	182.5799985
738	36.625
739	127.5949975
740	45.9499995
741	122.3354605
742	121.2114295
743	144.853188
744	15.4
745	97.2599985
746	115.989998
747	31.51
748	72.600001
749	174.240002
750	166.741558
751	57.3249985
752	110.6200025
753	78.975001
754	118.9075045
755	26.61
756	176.040001
757	156.555004
758	79.4524995
759	106.775002
760	58.8800015
761	233.4049985
762	97.0458755
763	77.6199995
764	46.185
765	26.275
766	16.55
767	257.3399965
768	93.7600005
769	197892.5
770	162.489998
771	113.134998
772	197.41
773	140.864998
774	75.559999
775	90.960697
776	67.850002
777	77.894998
778	98.449997
779	202.325004
780	94.4350015
781	179.654999
782	48.949999
783	25.790001
784	117.25
785	24.17
786	224.6649935
787	181.940002
788	45.3150005
789	128.980004
790	70.945002
791	99.1600035
792	63.695
793	63.0149975
794	111.5
795	45.8199995
796	122.534901
797	102.2799985
798	239.349999
799	67.025002
800	12.345
801	17.85
802	35.3850005
803	141.9350015
804	35.4049985
805	52.625
806	62.5300005
807	42.178448
808	360.0699995
809	144.195003
810	284.625
811	70.24
812	60.6399995
813	89.2950005
814	106.6800005
815	104.0550035
816	73.855001
817	33.8850005
818	152.5600015
819	199.7600095
820	94.4899995
821	165.2799985
822	36.43
823	72.3299985
824	113.275002
825	88.3449995
826	133.6376725
827	110.8449975
828	45.344999
829	168.505001
830	151.4149975
831	79.805
832	205.529991
833	53.6399995
834	67.370001
835	24.780001
836	106.009289
837	75.995001
838	125.414997
839	77.752083
840	189.8800005
841	43.555
842	96.560003
843	89.41
844	186.7649995
845	207.080002
846	112.465004
847	12.725
848	78.864998
849	108.130001
850	23.775
851	52.3150025
852	808.6004635
853	69.214998
854	172.6649965
855	99.189998
856	121.129997
857	34.71
858	41.5000005
859	121.2008745
860	81.300001
861	143.904999
862	132.039997
863	163.3800005
864	61.9249995
865	86.288855
866	79.6099985
867	24.11
868	127.855004
869	98.649997
870	86.82
871	162.8899995
872	67.0205
873	104.5699995
874	900.73999
875	93.900002
876	95.8299975
877	50.524999
878	95.470001
879	39.1850005
880	87.6383615
881	94.0000015
882	24.365001
883	148.299996
884	87.6449985
885	69.014999
886	114.314995
887	101.0750005
888	56.7150005
889	91.6750015
890	57.929998
891	119.8362465
892	229.919998
893	77.405001
894	32.267501
895	58.125
896	139.6300045
897	1206.700012
898	71.484999
899	142.7499995
900	154.604999
901	111.0950015
902	54.264999
903	93.909998
904	103.9250025
905	33.415
906	25.73
907	109.1599955
908	59.135
909	85.4070015
910	63.2100015
911	124.2949985
912	118.6899985
913	148.7049975
914	147.355003
915	60.774999
916	87.3700005
917	358.744995
918	108.1049995
919	131.7849955
920	130.005001
921	145.220001
922	41.400001
923	90.205002
924	71.1100005
925	107.799999
926	135.900002
927	150.660004
928	189.7750015
929	171.3799975
930	169.184998
931	167.9700015
932	16.615
933	26.005
934	324650
935	55.0699995
936	172.3450015
937	98.1952435
938	184.0849995
939	67.530001
940	66.5550005
941	104.284996
942	234.4399945
943	169.829998
944	162.890003
945	57.530001
946	107.3050035
947	106.2200045
948	48.8200015
949	100.1700025
950	74.965
951	111.9950025
952	140.2300035
953	48.424997
954	72.615002
955	135.5999985
956	93.8799995
957	128.404999
958	186.975002
959	100.594998
960	65.099998
961	102.969998
962	78.850003
963	123.069996
964	74.3999995
965	92.1838205
966	44.774999
967	79.6999985
968	192.350006
969	38.4650015
970	76.320002
971	43.4400005
972	101.229999
973	2244.534974
974	76.7050025
975	54.880001
976	21.495
977	79.640001
978	76.8450015
979	79.6700025
980	170.579998
981	108.379997
982	77.3499985
983	97.014995
984	25.2200015
985	168.875004
986	61.254999
987	50.4650005
988	225.2750095
989	172.470001
990	2002.724976
991	254.6400075
992	141.7449995
993	124.9350015
994	119.154999
995	35.29
996	115.149998
997	123.4050025
998	14.305
999	117.0649985
1000	260.3799975
1001	338.7650075
1002	101.964996
1003	127.14
1004	50.68
1005	78.795
1006	26.3000005
1007	86.940001
1008	28.715
1009	155.415001
1010	172.5000035
1011	4.13
1012	49.375
1013	39.4700005
1014	52.6300015
1015	165.869999
1016	110.600002
1017	84.8950025
1018	115.9249995
1019	115.7300035
1020	133.3600005
1021	48.019998
1022	17.995
1023	28.77
1024	64.3950005
1025	51.3449995
1026	53.690003
1027	56.224998
1028	154.5449985
1029	119.295002
1030	92.229999
1031	47.380317
1032	141.969997
1033	250.5349955
1034	13.27
1035	108.445004
1036	148.2252195
1037	587.849991
1038	252.4150015
1039	171.070004
1040	32.1600005
1041	1907.324951
1042	25.070001
1043	168.185001
1044	124.130001
1045	166.625
1046	22.38
1047	48.315
1048	47.3710025
1049	143.989998
1050	53.859999
1051	31.3075005
1052	172.7649995
1053	70.935001
1054	120.0150035
1055	30.7600015
1056	1028.559967
1057	122.2450025
1058	24.450001
1059	131.3300015
1060	55.2050025
1061	2311.854981
1062	50.485001
1063	155.7200015
1064	153.6549955
1065	124.1650005
1066	152.8550035
1067	83.6600015
1068	65.1849995
1069	79.1400015
1070	179.085003
1071	52.2312505
1072	143.764999
1073	158.485001
1074	60.1049995
1075	156.519997
1076	170.3549995
1077	147.539997
1078	34.9550005
1079	110.340004
1080	23.825
1081	66.215
1082	57.9650015
1083	184.494999
1084	41.155001
1085	43.629999
1086	45.9549995
1087	77.620001
1088	63.711143
1089	51.7199995
1090	34.535001
1091	526.543884
1092	77.713001
1093	17.715
1094	103.004997
1095	137.1949995
1096	33.0599995
1097	97.2900005
1098	118.5250015
1099	107.865001
1100	132.8450015
1101	46.4150005
1102	135.894997
1103	54.484999
1104	62.9400005
1105	25.995001
1106	86.590002
1107	22.365
1108	161.7149965
1109	110.5449985
1110	63.4400005
1111	86.5049985
1112	25.690001
1113	105.285
1114	150.305004
1115	79.420002
1116	44.505
1117	45.25
1118	151.7000005
1119	83.850001
1120	24.520001
1121	140.3950005
1122	27.2750005
1123	182.349999
1124	158.4799995
1125	118.264999
1126	22.94
1127	117.483624
1128	43.870001
1129	153.6899945
1130	105.1399995
1131	174.225002
1132	161.170002
1133	77.68
1134	33.1650015
1135	120.9899975
1136	21.625
1137	121.55022
1138	132.510002
1139	46.635
1140	22.875
1141	1555.029968
1142	73.58
1143	80.5849985
1144	51.2700005
1145	261.135002
1146	159.0099985
1147	72.2400015
1148	78.5100005
1149	79.3050005
1150	91.9799995
1151	45.522174
1152	19.515
1153	117.229996
1154	86.574999
1155	36.955001
1156	46.754999
1157	79.835001
1158	188.6949995
1159	71.9549975
1160	54.874998
1161	146.27
1162	114.525105
1163	145.114998
1164	51.5350015
1165	121.369999
1166	65.304998
1167	27.24
1168	21.24
1169	176.580002
1170	126.2950015
1171	109.2303465
1172	64.1699985
1173	87.595001
1174	112.930004
1175	241.1149975
1176	376.6449965
1177	48.454998
1178	165.0099985
1179	11.66
1180	51.215
1181	62.7749975
1182	7.655
1183	48.649999
1184	175.2049985
1185	64.955002
1186	133.379997
1187	100.300003
1188	51.9600015
1189	93.7250005
1190	130.969998
1191	88.025001
1192	72.2299995
1193	74.4300005
1194	13.42
1195	82.574999
1196	51.035
1197	42.125
1198	68.0600015
1199	98.0049975
1200	169.005005
1201	41.900001
1202	180.850002
1203	35.5799985
1204	121.773571
1205	131.580002
1206	24.9299995
1207	105.169216
1208	75.429999
1209	60.259998
1210	63.205
1211	103.5098265
1212	69.9000015
1213	82.814999
1214	1105.364991
1215	42.5090985
1216	95.337379
1217	117.1500015
1218	182.259998
1219	140.7799985
1220	120.555004
1221	154.945
1222	28.7249995
1223	52.9250015
1224	50.77
1225	160.390003
1226	77.524999
1227	95.560003
1228	104.5450015
1229	56.984999
1230	1429.840027
1231	46.9100015
1232	134.884998
1233	51.81
1234	120.0450015
1235	154.100003
1236	102.760002
1237	102.4850005
1238	65.325001
1239	123.5099985
1240	562.9997405
1241	76.7300015
1242	49.3500005
1243	128.799999
1244	107.4492875
1245	153.9347995
1246	165.8000035
1247	106.550003
1248	118.3349995
1249	77.265001
1250	317345
1251	145.760002
1252	97.615002
1253	71.3550015
1254	46.5900005
1255	62.495001
1256	48.0249985
1257	200.6549985
1258	81.4600015
1259	37.8900005
1260	67.820002
1261	15.28
1262	196.184997
1263	183.440002
1264	186.845001
1265	150.9699975
1266	1432.419983
1267	69.065003
1268	76.059999
1269	167.9500005
1270	107.23275
1271	21.175
1272	49.5799985
1273	32.735
1274	59.07
1275	195.149994
1276	45.9149985
1277	140.894997
1278	59.6200005
1279	79.859999
1280	111.745003
1281	536.014999
1282	109.240001
1283	124.1549985
1284	68.280003
1285	126.7349965
1286	125.774998
1287	146.455002
1288	98.764999
1289	143.7000005
1290	84.0899995
1291	28.3749995
1292	27.31
1293	214.9550015
1294	129.2950015
1295	144.165005
1296	138.389999
1297	170.4300005
1298	111.0950015
1299	70.354999
1300	105.264999
1301	108.25
1302	254.869995
1303	133.420002
1304	25.995
1305	75.724998
1306	53.079998
1307	15.295
1308	54.255001
1309	86.765
1310	76.6500015
1311	28.8849995
1312	146.52
1313	212.104996
1314	167.504997
1315	34.8699995
1316	179.029999
1317	218.7249985
1318	154.045002
1319	17.085
1320	140.084999
1321	10.41
1322	102.0750005
1323	19.69
1324	90.4321465
1325	89.380001
1326	95.26
1327	40.2400005
1328	143.6999975
1329	61.4300025
1330	350.370003
1331	123.994999
1332	47.174999
1333	124.8950005
1334	88.569999
1335	160.279999
1336	47.4549985
1337	55.155
1338	157.814999
1339	98.231442
1340	81.195
1341	176.829998
1342	112.52
1343	122.238686
1344	75.68
1345	150.709999
1346	123.244999
1347	88.450001
1348	24.335
1349	71.805
1350	178.344998
1351	112.354282
1352	195.9999925
1353	93.109998
1354	192.6450005
1355	36.6900005
1356	203.2099985
1357	184.844997
1358	39.0349995
1359	121.94342
1360	147.970001
1361	63.19
1362	83.079998
1363	12.81
1364	130.2000005
1365	25.3799985
1366	63.150002
1367	119.4650005
1368	123.6000025
1369	176.7150045
1370	77.5550005
1371	21.235
1372	37.1124995
1373	110.615002
1374	70.4250015
1375	79.565001
1376	458.329986
1377	122.6899945
1378	17.185
1379	81.524999
1380	130.820003
1381	137.064999
1382	98.384999
1383	32.9800005
1384	40.305
1385	100.859997
1386	170.310001
1387	84.125
1388	86.143497
1389	104.135002
1390	136.424999
1391	107.0999985
1392	46.995001
1393	155.9200025
1394	153.785
1395	74.695002
1396	83.3249985
1397	163.280002
1398	91.439999
1399	53.775
1400	96.945
1401	128.0999985
1402	76.4349995
1403	96.235001
1404	184.139999
1405	45.4125015
1406	262.0449985
1407	172.074997
1408	123.0849995
1409	124.1199995
1410	22.13
1411	20.03
1412	151.605
1413	125.365001
1414	79.655001
1415	129.369999
1416	65.6012495
1417	40.630001
1418	161.509998
1419	83.0312515
1420	121.303665
1421	162.3649975
1422	124.3400005
1423	153.7849995
1424	90.510002
1425	129.82
1426	139.415001
1427	78.2600025
1428	201.4949955
1429	173.305004
1430	867.558136
1431	139.6500015
1432	588.279999
1433	264.359993
1434	120.9999995
1435	271.764992
1436	46.365
1437	84.7099995
1438	36.22
1439	143.0050015
1440	62.3199975
1441	62.0249995
1442	61.905001
1443	147.1049955
1444	94.309999
1445	34.5100005
1446	113.9824985
1447	169.545002
1448	91.710001
1449	126.625
1450	33.839999
1451	32.95
1452	62.07
1453	150.359997
1454	66.9350015
1455	51.719997
1456	26.0400005
1457	100.585003
1458	80.5999985
1459	172.7900005
1460	424.869995
1461	163.275001
1462	66.3799995
1463	19.895
1464	62.154999
1465	132.244999
1466	47.82
1467	74.5349995
1468	1641.690064
1469	63.860001
1470	83.1000025
1471	63.635002
1472	75.7749995
1473	38.255
1474	148.755001
1475	43.9700005
1476	57.485
1477	33.475
1478	93.210001
1479	95.019998
1480	125.8450015
1481	46.9006475
1482	266.2350005
1483	53.2649995
1484	60.1750015
1485	129.5200005
1486	46.247499
1487	74.5900005
1488	20.325
1489	35.340001
1490	32.3649985
1491	133.220001
1492	51.0450005
1493	123.0250015
1494	103.8050045
1495	83.8550015
1496	178.4099965
1497	120.960003
1498	23.125
1499	191.319992
1500	84.2000005
1501	115.8300015
1502	164.4449965
1503	176.479999
1504	183.645
1505	45.69
1506	815.745361
1507	41.700001
1508	203.884995
1509	232.4649965
1510	222.8349915
1511	129.8549995
1512	164.850002
1513	155.265
1514	225.720001
1515	65.224998
1516	54.599998
1517	102.915001
1518	45.92
1519	128.854999
1520	62.58
1521	109.724998
1522	97.4449955
1523	170.8300015
1524	92.690003
1525	114.3000035
1526	130.380005
1527	36.4750005
1528	117.580002
1529	40.74
1530	69.41
1531	175.4899975
1532	103.0750005
1533	148.810001
1534	338491.5
1535	107.8900035
1536	159.2599985
1537	114.575004
1538	130.824997
1539	111.9099955
1540	47.945001
1541	170.214996
1542	72.694998
1543	95.9279495
1544	162.000004
1545	146.3650015
1546	138.3100015
1547	206.0699995
1548	124.0050005
1549	50.869999
1550	58.914999
1551	109.68
1552	149.079998
1553	58.9900015
1554	65.6599975
1555	195.2249915
1556	25.87
1557	61.494999
1558	89.1800005
1559	19.435
1560	103.5549965
1561	149.025002
1562	68.589998
1563	108.260002
1564	107.695
1565	107.289997
1566	182.1500015
1567	111.395004
1568	66.784998
1569	50.709999
1570	134.905003
1571	138.005001
1572	14.36
1573	174.809998
1574	80.5999985
1575	106.375
1576	19.57
1577	109.169998
1578	135.639999
1579	113.7049975
1580	122.395001
1581	65.094999
1582	22.775
1583	146.4799995
1584	91.800001
1585	158.2150005
1586	281.7649995
1587	91.555
1588	241715
1589	120.7000005
1590	140.600002
1591	77.102501
1592	43.4524995
1593	56.455
1594	131.660004
1595	248.8099975
1596	126.209999
1597	57.3749995
1598	117.344997
1599	76.549999
1600	159.930001
1601	815.1320495
1602	165.360001
1603	149.209999
1604	19.45
1605	777.6001285
1606	118
1607	81.995003
1608	115.899997
1609	161.1799965
1610	71.1144805
1611	104.950001
1612	103.805004
1613	70.4550015
1614	20.875
1615	64.4499985
1616	72.8500025
1617	67.9799995
1618	109.184998
1619	76.7399975
1620	13.74
1621	166.010002
1622	201.6200105
1623	25.49
1624	140.364998
1625	84.7800005
1626	158.470001
1627	192.9450075
1628	119.4328575
1629	433.8599855
1630	286.2300105
1631	100.4000055
1632	172.277065
1633	157.369999
1634	99.025776
1635	91.475001
1636	157.114998
1637	153.679996
1638	81.9250015
1639	132.1699985
1640	76.002498
1641	78.165001
1642	35.1050005
1643	103.5599975
1644	48.0550005
1645	27.3900005
1646	173.334999
1647	53.219997
1648	92.52
1649	101.939999
1650	188.9849965
1651	59.77
1652	151.215
1653	32.149999
1654	86.9200025
1655	70.4949985
1656	44.125001
1657	104.664997
1658	143.655002
1659	124.349998
1660	75.300001
1661	50.2750015
1662	260.459999
1663	210.789993
1664	109.129997
1665	134.4499965
1666	56.040001
1667	17.2
1668	46.6949985
1669	24.8
1670	33.7550015
1671	21.795
1672	55.8200015
1673	244.470009
1674	22.135
1675	76.549999
1676	285.665001
1677	184.045002
1678	120.865002
1679	178.159996
1680	75.959999
1681	194.920006
1682	25.89
1683	72.3850005
1684	153.419998
1685	62.6349985
1686	58.015001
1687	102.5349995
1688	172.975002
1689	98.6500015
1690	69.960001
1691	261700
1692	354560
1693	45.67
1694	111.7000005
1695	97.905002
1696	155.1450005
1697	164.419998
1698	140.284996
1699	56.254997
1700	110.8699985
1701	61.370001
1702	73.3199995
1703	134.1450005
1704	20.975
1705	186.9999995
1706	115.025001
1707	31.3199995
1708	123.3149985
1709	101.4900015
1710	75.1700005
1711	91.2899985
1712	217.570007
1713	153.16
1714	76.945002
1715	99.339996
1716	71.985001
1717	25.7500015
1718	142.630001
1719	44.4350005
1720	88.2849975
1721	133.574997
1722	98.037144
1723	38.8099995
1724	112.0799975
1725	59.1650015
1726	21.075
1727	107.174999
1728	108.1168135
1729	57.225
1730	152.9449995
1731	102.3750035
1732	72.99
1733	70.7399995
1734	152.345001
1735	56.105001
1736	61.1549985
1737	179.8850025
1738	49.870001
1739	137.244999
1740	82.9050005
1741	109.815002
1742	116.2599985
1743	192.2050055
1744	146.180001
1745	314357.5
1746	165.5300025
1747	168.8200035
1748	74.907501
1749	59.0099985
1750	39.6400015
1751	56.629997
1752	68.61
1753	111.9257055
1754	185.1200025
1755	81.8802125
1756	98.3499985
1757	81.5499995
1758	206.5150065
1759	53.5900025
1760	65.5649985
1761	104.3585745
1762	275.8600005
1763	438.9450075
1764	131.765003
1765	109.810002
1766	24.624999
1767	100.8000025
1768	143.250004
1769	33.39
1770	130.055004
1771	70.8450015
1772	59.230001
1773	90.874998
1774	110.3450015
1775	121.8649975
1776	128.870003
1777	122.535004
1778	139.780003
1779	64.9199985
1780	71.900002
1781	102.914997
1782	99.7700005
1783	27.9650005
1784	87.850003
1785	35.455
1786	149.9250035
1787	27.4
1788	107.59
1789	203.450005
1790	36.7
1791	143.244999
1792	112.32
1793	1186.98999
1794	143.5949975
1795	148.41
1796	101.847858
1797	51.674999
1798	93.805
1799	52.7399995
1800	60.09
1801	93.006498
1802	174.669998
1803	151.960003
1804	122.389999
1805	229.409996
1806	205.3250045
1807	58.5100025
1808	92.4499985
1809	35.52
1810	1084.105012
1811	116.514999
1812	85.4750025
